"name","price","gross","seller"
"华为荣耀8X","1245.00","600+","淘金手机专营店"
"华为畅享9 Plus","1099.00","1800+","京铠玄手机旗舰店"
"华为畅享9 Plus","1229.00","1800+","君问手机旗舰店"
"华为畅享9 Plus","1499.00","1800+","中国移动手机官方旗舰店"
"华为畅享9 Plus","1149.00","1700+","福气多多手机旗舰店"
"华为畅享9 Plus","1229.00","1600+","欧霖爵手机旗舰店"
"华为畅享9 Plus","1399.00","1500+","鹏路网络手机旗舰店"
"华为畅享9 Plus","825.00","1400+","牧申手机旗舰店"
"华为畅享9 Plus","1218.00","1400+","淘金手机专营店"
"诺基亚105","139.00","1700+","飞鸿手机专营店"
"诺基亚105","139.00","1700+","乐天惠通手机旗舰店"
"诺基亚105","139.00","1600+","银河信业手机专营店"
"诺基亚105","139.00","1300+","明日数码旗舰店"
"诺基亚105","79.00","1000+","零度二手商品专营店"
"诺基亚105","149.00","500+","量黑手机专营店"
"诺基亚105","119.00","400+","辉煌二手商品专营店"
"诺基亚105","159.00","300+","聚捷联盛手机旗舰店"
"诺基亚105","149.00","300+","沃晟手机专营店"
"诺基亚105","149.00","200+","杰百兴手机通讯专营店"
"诺基亚105","159.00","200+","量黑手机专营店"
"诺基亚105","149.00","200+","易销科技手机专营店"
"华为P30 Pro","3388.00","1200+","君问手机旗舰店"
"华为P30 Pro","3399.00","1200+","泰业优品二手手机旗舰店"
"华为P30 Pro","4488.00","1100+","头号卖家旗舰店"
"小米Redmi K20 Pro","2699.00","100+","佳沪手机旗舰店"
"小米Redmi K20 Pro","1768.00","100+","炜东电商旗舰店"
"小米Redmi K20 Pro","2678.00","100+","谷高数码手机专营店"
"小米Redmi K20 Pro","2178.00","80+","华信通手机专营店"
"华为荣耀9X","1799.00","900+","茄子手机旗舰店"
"华为荣耀9X","2199.00","800+","佳沪手机旗舰店"
"华为荣耀9X","1999.00","700+","OKSJ手机旗舰店"
"华为荣耀9X","1938.00","600+","聚捷联盛手机旗舰店"
